,rl_yaw,rl_roll,rl_pitch
571,-20.5625,-15.125,-61.8125
572,-20.625,-15.25,-63.125
573,-20.625,-15.375,-64.5
574,-20.5625,-15.625,-65.625
575,-20.5,-15.75,-66.4375
576,-20.125,-15.6875,-66.6875
577,-20.1875,-15.75,-66.1875
578,-20.125,-15.75,-65.375
579,-20.0625,-15.5625,-64.25
580,-19.875,-15.5,-63.0625
581,-19.6875,-15.5625,-61.3125
582,-19.5,-15.5625,-59.5
583,-19.3125,-15.375,-56.875
584,-18.5,-15.125,-54.1875
585,-18.5,-15.25,-51.125
586,-18.5,-15.1875,-47.625
587,-17.9375,-15.0,-43.75
588,-17.6875,-14.875,-39.5
589,-17.3125,-14.75,-35.625
590,-16.125,-13.8125,-30.375
591,-17.125,-13.375,-28.5
592,-17.875,-13.1875,-27.25
593,-18.0625,-12.8125,-25.8125
594,-18.3125,-12.4375,-24.0625
595,-18.6875,-12.0,-22.1875
596,-18.4375,-11.25,-20.3125
597,-18.625,-9.9375,-17.375
598,-19.6875,-9.125,-15.3125
599,-19.375,-8.6875,-14.1875
600,-20.25,-8.9375,-12.9375
601,-20.4375,-9.0,-12.25
602,-20.5,-9.0,-12.0625
603,-21.4375,-9.25,-12.625
604,-22.6875,-9.8125,-14.25
605,-23.3125,-10.25,-16.875
606,-23.8125,-10.8125,-20.25
607,-24.125,-11.5625,-23.8125
608,-24.1875,-12.1875,-26.375
609,-24.4375,-12.6875,-29.625
610,-25.0,-13.25,-33.125
611,-25.6875,-13.8125,-36.75
612,-25.5,-14.25,-40.875
613,-25.8125,-14.75,-46.375
614,-25.375,-15.125,-50.625
615,-25.0625,-15.625,-54.375
616,-25.5625,-15.8125,-57.5
617,-25.125,-15.8125,-59.625
618,-25.0,-15.9375,-60.75
619,-26.0,-16.375,-61.5625
620,-27.0625,-17.0,-62.4375
621,-27.3125,-17.125,-63.4375
622,-26.875,-17.0625,-64.0625
623,-26.75,-17.1875,-64.1875
624,-26.0625,-17.0625,-64.25
625,-26.0625,-17.0,-64.4375
626,-27.125,-16.875,-64.5
627,-29.25,-16.875,-64.4375
628,-32.5,-17.125,-64.4375
629,-37.0625,-17.5,-64.6875
630,-40.75,-17.9375,-64.9375
631,-44.125,-18.125,-65.25
632,-46.625,-18.4375,-65.5625
633,-49.0625,-18.5625,-65.875
634,-51.375,-18.6875,-66.0625
635,-52.9375,-18.6875,-65.875
636,-54.0,-18.125,-65.8125
637,-55.25,-17.75,-65.875
638,-55.125,-17.6875,-65.625
639,-54.3125,-17.5,-64.9375
640,-52.125,-17.5625,-64.5
641,-50.0,-17.3125,-64.1875
642,-47.8125,-17.0625,-63.875
643,-45.625,-16.75,-63.5
644,-43.4375,-16.5625,-62.875
645,-39.5625,-16.0,-61.75
646,-34.4375,-15.1875,-60.4375
647,-28.6875,-14.0,-59.0
648,-23.0625,-13.0,-58.0
649,-17.9375,-12.375,-57.125
650,-14.5,-12.3125,-56.875
651,-11.3125,-12.5625,-56.8125
652,-5.5625,-12.625,-56.3125
653,0.3125,-12.3125,-55.9375
654,6.75,-12.1875,-56.1875
655,12.625,-11.875,-56.0625
656,17.625,-11.875,-54.9375
657,21.9375,-11.6875,-53.625
658,26.1875,-11.4375,-53.25
659,29.3125,-10.875,-53.375
660,32.25,-10.25,-53.875
661,34.875,-10.0625,-54.125
662,36.5,-10.4375,-54.25
663,38.5625,-10.125,-54.125
664,39.125,-9.9375,-54.0
665,38.75,-9.4375,-53.4375
666,38.1875,-8.9375,-51.375
667,35.375,-10.5,-50.25
668,33.0625,-11.8125,-50.1875
669,30.0625,-12.0625,-49.5625
670,23.0,-12.5,-48.625
671,14.9375,-12.3125,-47.875
672,7.875,-12.375,-47.875
673,2.625,-13.0,-47.875
674,-1.1875,-13.6875,-47.625
675,-5.375,-14.1875,-47.3125
676,-10.9375,-14.875,-47.375
677,-17.3125,-16.0625,-47.375
678,-24.6875,-17.125,-47.625
679,-30.75,-18.0,-48.0625
680,-36.4375,-18.6875,-48.6875
681,-42.5625,-18.9375,-49.375
682,-46.9375,-19.1875,-50.3125
683,-50.4375,-19.5625,-51.8125
684,-52.625,-19.75,-52.4375
685,-53.3125,-19.6875,-51.8125
686,-52.9375,-19.5,-51.25
687,-51.625,-19.1875,-50.4375
688,-48.1875,-18.125,-49.1875
689,-42.4375,-16.375,-47.6875
690,-37.125,-14.6875,-46.3125
691,-31.25,-13.3125,-45.25
692,-25.9375,-12.1875,-44.4375
693,-19.5625,-10.9375,-44.0625
694,-13.75,-10.0625,-44.0625
695,-1.5625,-9.5,-44.75
696,6.25,-8.125,-45.9375
697,13.8125,-7.3125,-47.375
698,20.6875,-6.1875,-48.8125
699,29.8125,-5.3125,-51.75
700,32.0,-5.25,-51.9375
701,33.25,-5.0,-51.75
702,32.5625,-5.3125,-51.25
703,30.8125,-5.4375,-51.1875
704,30.8125,-4.9375,-50.75
705,27.5,-5.625,-49.125
706,22.5625,-7.5,-46.75
707,16.3125,-9.9375,-45.4375
708,9.375,-11.5,-44.4375
709,3.125,-13.0,-44.375
710,-1.8125,-16.0625,-43.4375
711,-4.3125,-17.375,-43.1875
712,-4.75,-17.625,-43.875
713,-5.5625,-17.5625,-45.5625
714,-6.0625,-17.0,-48.75
715,-6.875,-16.375,-54.75
716,-7.3125,-16.1875,-60.9375
717,-8.1875,-16.1875,-65.875
718,-9.5,-16.5625,-69.375
719,-10.5625,-16.75,-71.9375
720,-11.0625,-16.25,-74.375
721,-11.0625,-15.625,-76.0625
722,-10.9375,-15.3125,-76.8125
723,-10.6875,-15.3125,-76.625
724,-10.6875,-15.3125,-75.25
725,-11.5,-15.0,-73.0625
